nom,nombre_chambres,etoiles,note,nombre_avis,lien,iso,ecologique,green_leader,longitude,latitude,ville,pays,continent
NH Collection A Coruña Finisterre,92,5,4.5,1356,https://www.nh-hotels.fr/hotel/nh-collection-a-coruna-finisterre,non,non,non,-8.392943,43.369018,La Corogne,Espagne,Europe
NH Imperial Playa,162,4,4.0,985,https://www.nh-hotels.fr/hotel/nh-imperial-playa,non,non,non,-15.430761,28.148424,Las Palmas de Gran Canaria,Espagne,Europe
NH Las Palmas Playa Las Canteras,67,3,4.0,600,https://www.nh-hotels.fr/hotel/nh-las-palmas-playa-las-canteras,non,non,non,-15.430695,28.149008,Las Palmas de Gran Canaria,Espagne,Europe
NH Collection León Plaza Mayor,51,4,4.5,1288,https://www.nh-hotels.fr/hotel/nh-collection-leon-plaza-mayor,non,oui,oui,-5.56597 ,42.597434,Leon,Espagne,Europe
NH Lleida Pirineos,92,4,4.0,612,https://www.nh-hotels.fr/hotel/nh-lleida-pirineos,non,non,non,0.61339,41.61675,Lleida,Espagne,Europe
NH Logroño,110,3,4.0,981,https://www.nh-hotels.fr/hotel/nh-logrono,non,non,non,-2.4655,42.45882,Logroño,Espagne,Europe
NH Logroño Herencia Rioja,83,4,4.0,1093,https://www.nh-hotels.fr/hotel/nh-logrono-herencia-rioja,non,non,non,-2.45248,42.4658,Logroño,Espagne,Europe
NH Alcorcón,102,4,4.0,561,https://www.nh-hotels.fr/hotel/nh-alcorcon,non,non,non,-3.846308,40.350882,Madrid,Espagne,Europe
NH Collection Madrid Abascal,183,4,4.5,1768,https://www.nh-hotels.fr/hotel/nh-collection-madrid-abascal,oui,oui,oui,-3.695182,40.438314,Madrid,Espagne,Europe
NH Collection Madrid Colón,146,4,4.5,1008,https://www.nh-hotels.fr/hotel/nh-collection-madrid-colon,oui,oui,non,-3.689070,40.426076,Madrid,Espagne,Europe
NH Collection Madrid Eurobuilding,412,4,4.5,2555,https://www.nh-hotels.fr/hotel/nh-collection-madrid-eurobuilding,oui,oui,oui,-3.68558,40.45873,Madrid,Espagne,Europe
NH Collection Madrid Gran Vía,94,4,4.5,344,https://www.nh-hotels.fr/hotel/nh-collection-madrid-gran-via,non,non,non,-3.701117,40.419880,Madrid,Espagne,Europe
NH Collection Madrid Palacio de Tepa,83,5,4.5,1468,https://www.nh-hotels.fr/hotel/nh-collection-madrid-palacio-de-tepa,oui,oui,non,-3.701617,40.413835,Madrid,Espagne,Europe
NH Collection Madrid Paseo del Prado,113,5,4.5,1870,https://www.nh-hotels.fr/hotel/nh-collection-madrid-paseo-del-prado,oui,oui,non,-3.694548,40.414904,Madrid,Espagne,Europe
NH Collection Madrid Suecia,123,5,4.5,886,https://www.nh-hotels.fr/hotel/nh-collection-madrid-suecia,oui,oui,non,-3.6984705,40.4178139,Madrid,Espagne,Europe
NH Leganés,78,3,3.5,510,https://www.nh-hotels.fr/hotel/nh-leganes,non,non,non,-3.746084,40.327872,Madrid,Espagne,Europe
NH Madrid Alonso Martínez,101,3,4.5,1222,https://www.nh-hotels.fr/hotel/nh-madrid-alonso-martinez,non,oui,oui,-3.696126,40.428699,Madrid,Espagne,Europe
NH Madrid Atocha,68,3,4.0,755,https://www.nh-hotels.fr/hotel/nh-madrid-atocha,non,non,non,-3.689457,40.407690,Madrid,Espagne,Europe
NH Madrid Balboa,111,4,4.0,190,https://www.nh-hotels.fr/hotel/nh-madrid-balboa,non,non,non,-3.681832,40.435890,Madrid,Espagne,Europe
NH Madrid Barajas Airport,173,3,4.0,559,https://www.nh-hotels.fr/hotel/nh-madrid-barajas-airport,non,non,non,-3.594617,40.451123,Madrid,Espagne,Europe
